Configuration;PPU;PPUC;WorkPieces;Size;Small;Large;Conditions;PositioningC;Discrete;Continuous;Environment;Smooth;Rough;Platform Type;muC;PLC;Vendor 1;Vendor 2;Additional Functionalities;Selfhealing;Diagnosis;PPUM;LiftingLowering;ChangeoverArmM;CylinderM;PPUE;Pneumatics;VacuumGripper;Cylinder;Electrics;ChangeoverArm;Sensors;PositioningE;Inductive;Micro;Potentiometer;Safety;EmergencyStopButton;PPUS;Lifting Lowering Control;CylinderControl;ChangeoverArmControl;Position Control;DiscreteS;ContinuousS;Mode of operation;Automatic;Manual;Setup;Additional FunctionalitiesS;SelfhealingS;DiagnosisS
0;+;+;+;+;+;+;+;+;+;-;+;+;-;+;+;-;-;-;+;-;+;+;+;+;-;+;+;+;-;+;+;+;+;-;-;+;-;-;+;+;-;+;+;+;+;+;+;+;-;-;-;-
1;+;+;+;+;+;-;+;+;+;-;+;+;-;+;-;+;+;-;+;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;+;-;+;+;+;+;-;+;+;+;-;+;+;+;+;+;+;+
2;+;+;+;+;-;+;+;+;+;-;+;+;-;+;-;+;-;+;-;-;-;+;+;+;-;+;+;+;-;+;+;+;+;+;-;-;+;+;+;+;-;+;+;+;-;+;+;+;-;+;-;+
3;+;+;+;+;+;-;+;+;+;-;+;+;-;+;-;+;+;-;-;-;-;+;+;+;-;+;+;+;-;+;+;+;+;+;-;-;-;-;+;+;-;+;+;+;+;+;+;+;+;+;+;+
4;+;+;+;+;-;+;+;+;+;-;+;-;+;+;+;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;-;+;+;+;-;-;-;-;+;+;+;-;+;+;-;+;+;+;-;+;+;+
5;+;+;+;+;+;+;+;+;+;+;+;-;+;+;-;+;-;+;+;+;-;+;+;+;-;+;+;+;-;+;+;+;+;-;-;+;+;+;+;+;-;+;+;+;+;+;+;+;-;+;+;+
6;+;+;+;+;+;+;+;+;+;-;+;+;-;+;-;+;+;-;+;+;+;+;+;+;-;+;+;+;-;+;+;+;+;-;+;-;+;+;+;+;-;+;+;+;-;+;+;+;-;-;-;-
7;+;+;+;+;-;+;+;+;+;-;+;+;-;+;-;+;-;+;+;+;-;+;+;-;+;+;+;+;+;+;-;+;+;-;+;-;+;+;+;+;+;-;+;+;-;+;+;+;+;+;+;-
8;+;+;+;+;-;+;+;+;-;+;+;+;-;+;-;+;+;-;-;-;-;+;+;-;+;+;+;+;+;+;-;+;+;-;-;+;+;+;+;+;+;-;+;-;+;+;+;+;+;+;-;-
9;+;+;+;+;-;+;+;+;-;+;+;-;+;+;+;-;-;-;-;-;-;+;+;-;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;-;+;-;+;+;+;+;-;+;+;+
